Date,Gasoline,Ethane,Propane,Jet Fuel
2005-01-01,8813,13,327,1552
2005-02-01,8861,8,326,1576
2005-03-01,8994,10,314,1541
2005-04-01,9128,15,340,1638
2005-05-01,9278,18,339,1631
2005-06-01,9373,16,347,1701
2005-07-01,9534,16,325,1585
2005-08-01,9537,15,315,1590
2005-09-01,8915,11,277,1368
2005-10-01,9036,7,249,1337
2005-11-01,9115,17,288,1520
2005-12-01,9296,12,290,1515
2006-01-01,8839,8,286,1515
2006-02-01,8911,11,278,1438
2006-03-01,9054,15,276,1461
2006-04-01,9154,14,304,1447
2006-05-01,9308,13,323,1435
2006-06-01,9478,10,293,1493
2006-07-01,9607,17,300,1540
2006-08-01,9564,18,343,1485
2006-09-01,9236,17,312,1511
2006-10-01,9267,15,288,1490
2006-11-01,9244,19,303,1422
2006-12-01,9338,13,313,1529
2007-01-01,8886,17,324,1480
2007-02-01,9006,14,328,1421
2007-03-01,9178,12,325,1403
2007-04-01,9215,14,339,1368
2007-05-01,9434,14,338,1451
2007-06-01,9491,16,334,1459
2007-07-01,9640,15,340,1484
2007-08-01,9582,14,315,1470
2007-09-01,9254,12,327,1436
2007-10-01,9236,12,317,1446
2007-11-01,9229,15,325,1463
2007-12-01,9251,14,353,1489
2008-01-01,8810,15,329,1535
2008-02-01,8866,12,309,1467
2008-03-01,9066,13,314,1475
2008-04-01,9112,13,309,1492
2008-05-01,9251,15,337,1558
2008-06-01,9110,15,333,1605
2008-07-01,9150,15,324,1647
2008-08-01,9134,14,309,1609
2008-09-01,8497,7,265,1312
2008-10-01,9024,9,290,1401
2008-11-01,8904,13,320,1425
2008-12-01,8927,12,306,1383
2009-01-01,8623,14,278,1420
2009-02-01,8836,12,264,1402
2009-03-01,8903,15,280,1374
2009-04-01,9029,14,306,1428
2009-05-01,9084,13,304,1381
2009-06-01,9180,13,314,1405
2009-07-01,9260,13,299,1515
2009-08-01,9295,12,295,1395
2009-09-01,8911,15,285,1402
2009-10-01,8986,17,276,1297
2009-11-01,8906,17,296,1316
2009-12-01,8931,17,292,1467
2010-01-01,8520,14,264,1355
2010-02-01,8579,12,284,1346
2010-03-01,8793,15,289,1381
2010-04-01,9108,14,298,1475
2010-05-01,9162,16,304,1452
2010-06-01,9311,16,287,1495
2010-07-01,9301,16,292,1550
2010-08-01,9255,16,281,1470
2010-09-01,9112,15,281,1417
2010-10-01,9016,12,259,1336
2010-11-01,8816,13,266,1410
2010-12-01,8911,14,279,1439
2011-01-01,8370,15,261,1372
2011-02-01,8604,12,243,1313
2011-03-01,8799,15,265,1446
2011-04-01,8796,14,263,1426
2011-05-01,8817,13,273,1482
2011-06-01,9067,16,281,1570
2011-07-01,9031,13,276,1553
2011-08-01,8925,12,280,1548
2011-09-01,8744,14,263,1564
2011-10-01,8649,15,259,1397
2011-11-01,8537,15,286,1371
2011-12-01,8683,15,285,1454
2012-01-01,8190,15,270,1443
2012-02-01,8598,12,267,1407
2012-03-01,8582,15,258,1415
2012-04-01,8741,18,258,1436
2012-05-01,8979,16,267,1471
2012-06-01,8996,10,286,1612
2012-07-01,8810,13,295,1618
2012-08-01,9154,13,285,1566
2012-09-01,8561,12,268,1456
2012-10-01,8701,13,282,1427
2012-11-01,8483,12,280,1387
2012-12-01,8389,11,293,1491
2013-01-01,8331,7,268,1417
2013-02-01,8395,6,255,1410
2013-03-01,8641,6,277,1469
2013-04-01,8855,7,268,1531
2013-05-01,9033,5,289,1455
2013-06-01,9078,6,292,1530
2013-07-01,9146,7,290,1564
2013-08-01,9124,7,296,1615
2013-09-01,8946,9,293,1555
2013-10-01,8944,8,273,1447
2013-11-01,8923,7,287,1505
2013-12-01,8670,6,314,1598
2014-01-01,8273,5,303,1489
2014-02-01,8647,6,295,1470
2014-03-01,8697,4,290,1431
2014-04-01,8955,5,321,1507
2014-05-01,9023,5,322,1480
2014-06-01,9039,3,317,1531
2014-07-01,9249,5,330,1648
2014-08-01,9311,7,318,1685
2014-09-01,8822,5,298,1628
2014-10-01,9148,4,264,1497
2014-11-01,8921,4,297,1584
2014-12-01,8941,5,320,1675
2015-01-01,8639,4,288,1529
2015-02-01,8829,7,274,1536
2015-03-01,9057,6,299,1507
2015-04-01,9189,5,314,1600
2015-05-01,9262,5,297,1617
2015-06-01,9417,4,278,1645
2015-07-01,9470,5,283,1674
2015-08-01,9460,3,275,1604
2015-09-01,9289,4,265,1556
2015-10-01,9245,5,257,1559
2015-11-01,9112,5,284,1642
2015-12-01,9148,6,285,1702
2016-01-01,8653,4,284,1581
2016-02-01,9221,3,290,1579
2016-03-01,9373,4,307,1574
2016-04-01,9176,4,314,1592
2016-05-01,9417,4,328,1605
2016-06-01,9608,0,326,1660
2016-07-01,9578,2,321,1735
2016-08-01,9687,5,303,1794
2016-09-01,9484,3,302,1724
2016-10-01,9093,4,291,1591
2016-11-01,9233,3,309,1690
2016-12-01,9283,2,308,1663
2017-01-01,8507,3,298,1618
2017-02-01,9008,9,282,1604
2017-03-01,9325,2,295,1676
2017-04-01,9295,5,298,1737
2017-05-01,9550,7,324,1712
2017-06-01,9772,5,333,1762
2017-07-01,9595,5,312,1814
2017-08-01,9752,8,309,1761
2017-09-01,9378,3,278,1661
2017-10-01,9357,5,303,1611
2017-11-01,9110,7,315,1670
2017-12-01,9247,6,332,1784
2018-01-01,8788,5,296,1691
2018-02-01,8796,5,295,1689
2018-03-01,9465,8,295,1781
2018-04-01,9206,6,307,1795
2018-05-01,9515,4,300,1802
2018-06-01,9797,4,321,1891
2018-07-01,9640,6,320,1891
2018-08-01,9778,9,310,1952
2018-09-01,9153,5,296,1854
2018-10-01,9294,6,279,1690
2018-11-01,9290,7,294,1769
2018-12-01,9179,5,303,1855
2019-01-01,8778,2,297,1771
2019-02-01,9072,7,257,1693
2019-03-01,9184,6,288,1727
2019-04-01,9411,5,295,1727
2019-05-01,9497,5,295,1727
2019-06-01,9703,4,300,1879
2019-07-01,9533,6,292,1919
2019-08-01,9834,7,295,1922
2019-09-01,9198,5,272,1802
2019-10-01,9308,4,252,1662
2019-11-01,9209,5,294,1834
2019-12-01,8971,5,316,1890
2020-01-01,8724,5,297,1855
2020-02-01,9050,5,281,1667
2020-03-01,7779,7,278,1358
2020-04-01,5866,7,230,619
2020-05-01,7198,5,234,505
2020-06-01,8292,9,249,733
2020-07-01,8460,8,265,834
2020-08-01,8524,6,274,849
2020-09-01,8541,4,260,799
2020-10-01,8316,5,258,821
2020-11-01,8001,5,275,1062
2020-12-01,7855,6,266,1126
2021-01-01,7666,4,259,1226
2021-02-01,7744,2,219,950
2021-03-01,8577,3,271,1101
2021-04-01,8791,2,280,1262
2021-05-01,9137,6,301,1306
2021-06-01,9273,4,301,1380
2021-07-01,9313,2,289,1420
2021-08-01,9111,4,288,1432
2021-09-01,8966,6,260,1353
2021-10-01,8949,2,277,1319
2021-11-01,8989,8,287,1435
2021-12-01,8949,6,294,1511
2022-01-01,7982,9,268,1517
2022-02-01,8598,6,269,1502
2022-03-01,8856,5,284,1435
2022-04-01,8754,5,299,1698
